id,population,name,dosesAdministered,peopleVaccinated,completedVaccination,completedOneDoseVaccination,cdcDosesDistributed
AL,4903185.0,Alabama,2527815,1568315,1098820,74612.0,4033570.0
AK,731545.0,Alaska,543274,301770,250694,12921.0,765635.0
AZ,7278717.0,Arizona,4980955,2926506,2052084,129273.0,6525095.0
AR,3017804.0,Arkansas,1753393,1060712,743022,53287.0,2626760.0
CA,39512223.0,California,29640092,18913274,11618186,1072687.0,37945460.0
CO,5758736.0,Colorado,4323941,2639720,1792395,142058.0,5234840.0
CT,3565287.0,Connecticut,3147007,1923029,1327319,121359.0,3800005.0
DE,973764.0,Delaware,739528,447134,304057,32843.0,944785.0
DC,705749.0,District of Columbia,588451,330670,202688,24320.0,813075.0
FL,21477737.0,Florida,14851191,8819692,6033594,529704.0,20210185.0
GA,10617423.0,Georgia,6135031,3661495,2470926,137385.0,9110285.0
HI,1415872.0,Hawaii,1195009,729041,490217,20755.0,1437480.0
ID,1787065.0,Idaho,1058965,600385,470312,30324.0,1405215.0
IL,12671821.0,Illinois,9227089,5788236,3728480,306185.0,11699875.0
IN,6732219.0,Indiana,4041591,2389840,1735367,128870.0,5431110.0
IA,3155070.0,Iowa,2319689,1372631,1025468,88893.0,2744445.0
KS,2913314.0,Kansas,1980455,1228189,890014,57587.0,2677465.0
KY,4467673.0,Kentucky,3084915,1814329,1383438,103979.0,3871875.0
LA,4648794.0,Louisiana,2686441,1491946,1221651,87354.0,3633820.0
ME,1344212.0,Maine,1150672,719284,510245,70248.0,1336750.0
MD,6045680.0,Maryland,4672656,2874422,1987755,179839.0,5750030.0
MA,6892503.0,Massachusetts,6000594,3770163,2418822,211885.0,7048920.0
MI,9986857.0,Michigan,6948146,4187013,3072860,232433.0,9281270.0
MN,5639632.0,Minnesota,4248287,2600299,1866380,196910.0,4909860.0
MS,2976149.0,Mississippi,1564991,914846,691913,43967.0,2391815.0
MO,6137428.0,Missouri,3906752,2283985,1629572,120292.0,5168575.0
MT,1068778.0,Montana,741564,429556,331209,21481.0,975905.0
NE,1934408.0,Nebraska,1399434,829507,616624,52099.0,1753610.0
NV,3080156.0,Nevada,2005102,1201880,828359,70307.0,2496000.0
NH,1359711.0,New Hampshire,1134878,813444,402306,51389.0,1264745.0
NJ,8882190.0,New Jersey,7133352,4508353,3099737,272912.0,8296605.0
NM,2096829.0,New Mexico,1759830,1055793,755789,45069.0,2037745.0
NY,19453561.0,New York,15161999,9065115,6435452,570923.0,18194675.0
NC,10488084.0,North Carolina,6829082,4062728,2923242,231396.0,9462050.0
ND,762062.0,North Dakota,554274,296538,244760,19117.0,631580.0
OH,11689100.0,Ohio,8184384,4664034,3644587,279871.0,10340475.0
OK,3956971.0,Oklahoma,2649839,1513189,1150151,67763.0,3719965.0
OR,4217737.0,Oregon,2965257,1827620,1242716,93869.0,3801565.0
PA,12801989.0,Pennsylvania,9800202,6204777,3956547,339252.0,12260615.0
RI,1059361.0,Rhode Island,893081,549164,374665,37623.0,1094235.0
SC,5148714.0,South Carolina,3182970,1860517,1369231,94672.0,4443785.0
SD,884659.0,South Dakota,685056,392554,312997,18206.0,882185.0
TN,6829174.0,Tennessee,3925360,2314380,1615795,105366.0,5451530.0
TX,28995881.0,Texas,18395582,10915947,7512024,631208.0,24993025.0
UT,3205958.0,Utah,2093104,1243921,737028,81293.0,2477050.0
VT,623989.0,Vermont,549084,335642,226800,23405.0,660990.0
VA,8535519.0,Virginia,6457715,3945339,2690087,214099.0,7927215.0
WA,7614893.0,Washington,5668118,3447001,2371675,194670.0,7048310.0
WV,1792147.0,West Virginia,1148401,635460,525298,19923.0,1636815.0
WI,5822434.0,Wisconsin,4533803,2624085,1977896,164358.0,5186705.0
WY,578759.0,Wyoming,348883,194680,155665,10568.0,477985.0
AS,55689.0,American Samoa,37808,21284,16650,28.0,47010.0
FM,103643.0,Micronesia,33156,19983,13299,106.0,63200.0
GU,165768.0,Guam,126333,74749,52007,1215.0,140740.0
MH,58413.0,Marshall Islands,26072,14363,11714,39.0,51300.0
MP,56882.0,Northern Marianas,39293,21792,17545,47.0,62910.0
PW,17907.0,Palau,19702,12053,8382,565.0,24600.0
PR,3193694.0,Puerto Rico,1815136,1151270,745420,64122.0,3088480.0
VI,104680.0,U.S. Virgin Islands,60939,33088,25542,320.0,66080.0
