id,population,name,dosesAdministered,peopleVaccinated,completedVaccination,completedOneDoseVaccination,cdcDosesDistributed
AL,4903185.0,Alabama,2768204,1654267,1270858,85664.0,4277330.0
AK,731545.0,Alaska,571368,312535,268405,14481.0,777945.0
AZ,7278717.0,Arizona,5372605,3077983,2297078,142974.0,7081205.0
AR,3017804.0,Arkansas,1900002,1107515,840192,56095.0,2677170.0
CA,39512223.0,California,33109680,20284982,13796992,1160000.0,42020680.0
CO,5758736.0,Colorado,4880920,2804920,2172481,153924.0,5861710.0
CT,3565287.0,Connecticut,3512139,2043434,1581885,132891.0,4077035.0
DE,973764.0,Delaware,825352,478333,358385,35515.0,1057915.0
DC,705749.0,District of Columbia,655560,360914,241630,25438.0,918975.0
FL,21477737.0,Florida,16431037,9460421,7018269,607170.0,22007995.0
GA,10617423.0,Georgia,6799470,3869064,2929987,152647.0,9921025.0
HI,1415872.0,Hawaii,1386097,832725,577610,26396.0,1565860.0
ID,1787065.0,Idaho,1132383,626090,519112,32699.0,1490225.0
IL,12671821.0,Illinois,10146731,6184414,4287939,333119.0,12855545.0
IN,6732219.0,Indiana,4506166,2553033,2032376,142447.0,5727410.0
IA,3155070.0,Iowa,2564630,1440023,1204970,96980.0,2973685.0
KS,2913314.0,Kansas,2146247,1275039,1017851,62304.0,2826985.0
KY,4467673.0,Kentucky,3309482,1893307,1535295,112565.0,4092275.0
LA,4648794.0,Louisiana,2861659,1553840,1333541,91191.0,3754030.0
ME,1344212.0,Maine,1276858,768255,597383,80658.0,1520230.0
MD,6045680.0,Maryland,5221259,3094920,2332002,197264.0,6647830.0
MA,6892503.0,Massachusetts,6858691,4141658,2919358,229768.0,8068900.0
MI,9986857.0,Michigan,7688179,4438313,3588702,253182.0,10065270.0
MN,5639632.0,Minnesota,4721950,2788250,2164502,209203.0,5348340.0
MS,2976149.0,Mississippi,1655785,951726,747819,45498.0,2496365.0
MO,6137428.0,Missouri,4243742,2388865,1863242,128957.0,5508655.0
MT,1068778.0,Montana,799489,449535,370722,24062.0,1024695.0
NE,1934408.0,Nebraska,1536579,868691,716867,54957.0,1851220.0
NV,3080156.0,Nevada,2209675,1271782,968902,79104.0,2636770.0
NH,1359711.0,New Hampshire,1148596,780481,450422,53313.0,1422785.0
NJ,8882190.0,New Jersey,7934175,4813916,3643468,304313.0,9490755.0
NM,2096829.0,New Mexico,1927317,1110016,871789,49560.0,2112295.0
NY,19453561.0,New York,17034051,9748719,7666821,632681.0,20122975.0
NC,10488084.0,North Carolina,7498381,4248350,3409247,246032.0,10441180.0
ND,762062.0,North Dakota,581749,305561,261859,20214.0,654800.0
OH,11689100.0,Ohio,8930170,4890014,4163587,305097.0,11024855.0
OK,3956971.0,Oklahoma,2786611,1560916,1242191,73887.0,3834415.0
OR,4217737.0,Oregon,3395077,2030348,1484308,106905.0,4219185.0
PA,12801989.0,Pennsylvania,10952811,6727935,4629086,389951.0,13571705.0
RI,1059361.0,Rhode Island,988104,582139,436478,39244.0,1289815.0
SC,5148714.0,South Carolina,3439210,1947391,1545538,103410.0,4728205.0
SD,884659.0,South Dakota,731988,403387,351251,20091.0,910375.0
TN,6829174.0,Tennessee,4346845,2444465,1898730,114913.0,5671770.0
TX,28995881.0,Texas,20215285,11508786,8742609,683476.0,27376675.0
UT,3205958.0,Utah,2263595,1311972,842026,85546.0,2733780.0
VT,623989.0,Vermont,632395,382267,266995,28601.0,757120.0
VA,8535519.0,Virginia,7233201,4234063,3173754,236621.0,8689335.0
WA,7614893.0,Washington,6367124,3772502,2760079,217466.0,7942520.0
WV,1792147.0,West Virginia,1216002,657366,573097,22072.0,1682345.0
WI,5822434.0,Wisconsin,4961248,2746530,2283255,176969.0,5555605.0
WY,578759.0,Wyoming,369975,201135,170086,11428.0,490875.0
